,Character,Message
3744,VINA,He means that they can't use you. You're free to go back to the ship.
3745,PIKE,"And that's it. No apologies. You captured one of us, threatened all of us."
3746,TALOSIAN,Your unsuitability has condemned the Talosian race to eventual death. Is this not sufficient?
3747,KEEPER,No other specimen has shown your adaptability. You were our last hope.
3748,PIKE,"But wouldn't some form of trade, mutual cooperation."
3749,KEEPER,"Your race would learn our power of illusion and destroy itself, too."
3750,NUMBER ONE,"Captain, we have transporter control now."
3751,PIKE,Let's get back to the ship.
3752,VINA,I can't. I can't go with you.
3753,SPOCK,Mister Spock here.
3754,TYLER,"All power has come on, Mister Spock. The helm is answering to control."
3755,VINA,You see why I can't go with you.
3756,KEEPER,This is the female's true appearance.
3757,VINA,"They found me in the wreckage, dying, a lump of flesh. They rebuilt me. Everything works, but they had never seen a human. They had no guide for putting me back together."
3758,KEEPER,It was necessary to convince you her desire to stay is an honest one.
3759,PIKE,You'll give her back her illusion of beauty?
3760,KEEPER,And more.
3761,NUMBER ONE,Isn't she coming with us?
3762,PIKE,"No. No, and I agreed with her reasons."
3763,SPOCK,All decks prepare for hyperdrive.
3764,NUMBER ONE,"All decks are ready, sir."
3765,PIKE,Engage.
3766,KIRK,"Commodore, don't you think that"
3767,KEEPER,"What you now seem to hear, Captain Kirk, are my thought transmissions. The Commodore was never aboard your vessel. His presence there and in the shuttlecraft was an illusion. Mister Spock had related to us your strength of will. It was thought the fiction of a court-martial would divert you from too soon regaining control of your vessel. Captain Pike is welcome to spend the rest of his life with us, unfettered by his physical body. The decision is yours and his."
3768,KIRK,"Mister Spock, even if regulations are explicit, you could have come to me and explained."
3769,SPOCK,"Ask you to face the death penalty, too? One of us was enough, Captain."
3770,KIRK,Yes.
3771,UHURA,"Message from Starbase Eleven, sir. Received images from Talos Four. In view of historic importance of Captain Pike in space exploration, General Order Seven prohibiting contact Talos Four is suspended this occasion. No action contemplated against Spock. Proceed as you think best. Signed, Mendez, J.I., Commodore, Starbase Eleven."
3772,KIRK,"Chris, do you want to go there?  Mister Spock, would you care to take Captain Pike to the transporter room, see him off?"
3773,SPOCK,"Thank you, sir, for both of us."
3774,KIRK,"Er, Mister Spock, when you're finished, please come back and see me. I want to talk to you. This regret table tendency you've been showing lately towards flagrant emotionalism"
3775,SPOCK,"I see no reason to insult me, sir. I believe I've been completely logical about the whole affair."
3776,KEEPER,"Captain Pike has an illusion, and you have reality. May you find your way as pleasant."
3777,KIRK,Interesting. An Arcturian Macbeth.
3778,LEIGHTON,Watch him. Watch Macbeth.
3779,LENORE,Is he dead? Speak. Is King Duncan dead?
3780,KARIDIAN,Will all great Neptune's ocean wash this blood clean from my hands.
3781,LEIGHTON,That voice. He's back. That man on the stage. I'm certain of it. That's Kodos the Executioner.
3782,KARIDIAN,Pluck out mine eyes!
3783,LEIGHTON,He is Kodos. I'm sure of it.
3784,KIRK,"You said you discovered a new food concentrate. What am I supposed to put in my log, that you lied? That you diverted a starship with false information? You're not only in trouble, you've put me in trouble, too."
3785,LEIGHTON,I did it to trap Kodos!
3786,KIRK,Kodos is dead.
3787,LEIGHTON,Is he? Is anyone sure? A body burned beyond recognition?
3788,KIRK,"Tom, the authorities closed the book on that case years ago."
3789,LEIGHTON,"Then let's reopen it. Jim, four thousand people were butchered."
3790,KIRK,"Martha, you tell him."
3791,MARTHA,"I can't tell him anything, Jim. He's been like this since the company of actors arrived."
3792,KIRK,Kodos is dead. I'm satisfied of that.
3793,LEIGHTON,"Well, I'm not. I remember him. That voice. The bloody thing he did."
3794,LEIGHTON,"Jim, Jim, I need your help. There were only eight or nine of us who actually saw Kodos. I was one, you were another. If he's to be exposed,"
3795,KIRK,He's dead.
3796,LEIGHTON,Then it will be a ghost Martha and I receive in our home tonight. I invited the entire company to a cocktail party. I have to be sure.
3797,KIRK,And I have to get back to my ship and figure out how I'm going to enter all this in my log. Tom. Martha.
3798,KIRK,"History files. Subject, former Governor Kodos of Tarsus Four, also known as Kodos the Executioner. After that, background on actor Anton Karidian."
3799,COMPUTER,"Working. Kodos the Executioner, summary. Governor of Tarsus Four twenty Earth years ago. Invoked martial law. Slaughtered fifty percent of population Earth colony, that planet. Burned body found when Earth forces arrived. No positive identification. Case closed. Detailed information follows. On stardate 2794.7,"
3800,KIRK,Stop. Information on Anton Karidian.
3801,COMPUTER,"Director and star of travelling company of actors sponsored by galactic cultural exchange project, touring official installations last nine years. Has daughter, Lenore, nineteen years old,"
3802,KIRK,Stop. Give comparative identification between actor Karidian and Governor Kodos.
3803,COMPUTER,No identification records available on actor Anton Karidian.
3804,KIRK,Give information on actor Karidian prior to Kodos' death.
3805,COMPUTER,"No information available, Anton Karidian, prior to twenty years ago"
3806,KIRK,Photograph Kodos.  Photograph Karidian.  Now photograph both.
3807,KIRK,"Mister Spock. You know Doctor Leighton, don't you? Would you say he's given to fantasy?"
3808,SPOCK,"A good empirical research scientist. Steady, reputable, occasionally brilliant."
3809,KIRK,With a very long memory.
3810,SPOCK,"I have no information on that, Captain. We are ready to leave orbit."
3811,KIRK,We'll delay departure for a time. I'm beaming back down to the planet.
3812,KIRK,Where's Tom?
3813,MARTHA,He went to town. He called. He's on his way back.
3814,KIRK,The others are on the patio.
3815,LENORE,I take it you're the welcoming committee.  Is that for me?
3816,KIRK,Why not? I saw your performance today. May I extend my appreciation?
3817,LENORE,"My father will be delighted, Mister. Mister?"
3818,KIRK,"Captain James Kirk, Starship Enterprise."
3819,LENORE,We are honoured.
3820,KIRK,"I had hoped to meet your father, here, tonight, personally."
3821,LENORE,"I'm sorry, Captain Kirk. He has a rigid rule about that. He never sees anyone personally, and he never attends parties."
3822,KIRK,An actor turning away his admirers? Very unusual.
3823,LENORE,Karidian is a most unusual man. You saw Macbeth. That was my father.
3824,KIRK,Then I'll talk to Lady Macbeth.
3825,LENORE,So. Captain of the Enterprise. Interesting.
3826,KIRK,"So, Lady Macbeth. Interesting. What's your next move?"
3827,LENORE,"We play two performances at Benecia, if the AstraI Queen can get us there."
3828,KIRK,She's a good ship.  Thank you. You were very impressive as Lady Macbeth.
3829,LENORE,Thank you. And as Lenore Karidian?
3830,KIRK,Very impressive. Lenore. I'd like to see you again.
3831,LENORE,You mean professionally?
3832,KIRK,Not necessarily.
3833,LENORE,"I think I'd like that. Unfortunately, we must keep a schedule."
3834,KIRK,"You don't have a schedule now, do you?"
3835,LENORE,You mean leave? But I've only just arrived.
3836,LENORE,And you hate to overstay a welcome.
3837,KIRK,Exactly.
3838,LENORE,Why not?
3839,KIRK,Good. I'll make our apologies to our hostess. I'll meet you outside.
3840,LENORE,No. Just thinking.
3841,KIRK,About what?
3842,LENORE,"At the party, you were such a brash young man."
3843,LENORE,"Now somehow different. Not a ship's Captain with all those people to be strong and confident in front of. You know, you're really very dear, aren't you? In some ways, very lonely."
3844,KIRK,It's Tom Leighton. He's dead.
3845,MARTHA,"At least he has peace now. He never really had that before. Oh, why was Tom killed if what he suspected wasn't true?"
3846,KIRK,I don't know. I'll try and find out.
3847,MARTHA,"Oh, Jim. How I'll miss him."
3848,KIRK,Kirk to Enterprise.
3849,UHURA,"Bridge here, Captain."
3850,KIRK,"Put me through to Captain Jon Daily of the AstraI Queen on orbit station, and put it on scramble."
3851,UHURA,"Captain Daily's on, sir."
3852,DAILY,"Hi, Jim."
3853,KIRK,Can you do me a favour?
3854,DAILY,I owe you a dozen. Just ask.
3855,KIRK,Don't make your pick-up here.
3856,DAILY,You mean strand all those actors?
3857,KIRK,"I'll pick them up. And if there's any trouble, it'll be my responsibility."
3858,DAILY,Will do. Anything else?
3859,KIRK,Just keep this between the two of us and accept my thanks. Over and out. Kirk to Enterprise.
3860,UHURA,"Bridge here, Captain."
3861,KIRK,"Transporter room, ready to beam up."
3862,KIRK,I think we're due for a pick-up.
3863,SPOCK,What kind? Personnel? Cargo?
3864,UHURA,Captain? A Miss Karidian has been transported aboard ship. She requests permission to see you.
3865,KIRK,"Tell her to come up to the Bridge, Lieutenant."
3866,KIRK,I'm the Captain.
3867,LENORE,"Captain Kirk, I didn't think we'd be meeting again so soon."
3868,KIRK,You probably wouldn't believe me if I told you I arranged it.
3869,LENORE,"No, but it's a delightful thought. Captain, I'm afraid we need your help. We've been stranded. It seems that our transportation has cancelled out on us."
3870,KIRK,Can't you make other arrangements?
3871,LENORE,"Yes, but not in time. You see, our schedule is like a chain. One break and it all collapses."
3872,KIRK,It'd be a shame if that happened.
3873,LENORE,If ever we needed a Good Samaritan.
3874,KIRK,Well.
3875,LENORE,I appeal to you.
3876,KIRK,The regulations are very clear about taking on passengers.
3877,LENORE,"I'll make a bargain with you, Captain."
3878,KIRK,What have you got to trade?
3879,LENORE,Special performance for the crew in exchange for a lift.
3880,KIRK,You make it sound very interesting. The crew has been on patrol for a long time. They could use a break in the monotony.
3881,LENORE,Then you'll do it?
3882,KIRK,"You've got me backed into a corner. The men would never forgive me if I deprived them of your performance, and your presence."
3883,LENORE,"Thank you, Captain. I'm eternally grateful. I'll get the company ready. This means so much to them."
3884,KIRK,"Mister Spock, prepare to leave orbit as soon as the Karidian company is aboard the ship."
3885,SPOCK,"May I inquire as to our course, Captain?"
3886,KIRK,Benecia Colony.
3887,SPOCK,Benecia Colony is eight light years off our course.
3888,KIRK,"If my memory needs refreshing, Mister Spock, I'll ask you for it. In the meantime, follow my orders."
3889,SPOCK,"We'll arrive stardate 2825.3, Captain, approximately fifteen hundred Benecia time."
3890,COMPUTER,Library computer.
3891,KIRK,Data on question submitted to personnel files.
3892,COMPUTER,Data being received. Kodos file of all survivors. There are nine actual eye witnesses who can identify Kodos.
3893,KIRK,Stop. Give list.
3894,COMPUTER,"Kirk, J., presently Enterprise Captain, Leighton, T., Moulton, E., Riley, K., Eames, D.,"
3895,KIRK,Stop. Is that star service Lieutenant Kevin Riley?
3896,COMPUTER,"Affirmative. Riley, Kevin. Presently assigned U.S.S. Enterprise communications section."
3897,KIRK,Stop. Mister Spock.
3898,SPOCK,Captain.
3899,KIRK,"Lieutenant Kevin Riley in communications, I wish to have him transferred down to the engineering decks."
3900,SPOCK,"He came up from engineering, Captain."
3901,KIRK,I'm sending him back.
3902,SPOCK,Any explanation? He's a fine young officer. He's bound to consider this transfer a disciplinary action.
3903,KIRK,"I don't wish to discuss it, Mister Spock. Please follow my orders."
3904,SPOCK,"Spare me your philosophical metaphors, Doctor. The Captain is acting strangely. I'm asking if you've noticed."
3905,MCCOY,"Negative. Did you know this is the first time in a week I've had time for a drop of the true? Would you care for a drink, Mister Spock?"
3906,SPOCK,My father's race was spared the dubious benefits of alcohol.
3907,MCCOY,"Now I know why they were conquered. What are you so worried about, anyway? I find Jim generally knows what he's doing."
3908,KIRK,It was illogical for him to bring those players aboard.
3909,MCCOY,"Illogical? Did you get a look at that Juliet? That's a pretty exciting creature. Of course your, personal chemistry would prevent you from seeing that. Did it ever occur to you that he simply might like the girl?"
3910,SPOCK,It occurred. I dismissed it.
3911,MCCOY,You would.
3912,SPOCK,Did you know that he suddenly transferred Lieutenant Riley to engineering?
3913,MCCOY,"Lots of things go on around here that I don't know, Mister Spock. Now, he's the Captain. He can transfer whoever he pleases. You can look that up in a hundred volumes of space regulations somewhere. All right? Come on, have a drink."
3914,SPOCK,"No, thank you."
3915,MCCOY,"You're welcome. But I will. And please, Mister Spock, if you won't join me, don't disapprove of me. At least not until you've tried it, huh?"
3916,KIRK,This is the observation deck. That's the flight deck down there with the shuttle craft.
3917,LENORE,Interesting.
3918,KIRK,Isn't it?
3919,LENORE,"Tell me, Captain Kirk."
3920,KIRK,Anything.
3921,LENORE,Did you order the soft lights especially for the occasion?
3922,KIRK,"If I had ordered soft lights, I'd also have arranged for music and flowers. Unfortunately, it isn't so. On the Enterprise, we try to duplicate earth conditions of night and day as closely as possible."
3923,LENORE,"Star light, star bright. I wish I may, I wish I might. Do you remember that, Captain?"
3924,KIRK,It's very old.
3925,LENORE,"Almost as old as the stars themselves. And this ship. All this power, surging and throbbing, yet under control. Are you like that, Captain? All this power at your command, yet the decisions that you have to make"
3926,KIRK,Come from a very human source.
3927,LENORE,"Are you, Captain? Human?"
3928,KIRK,You can count on it.
3929,LENORE,"Tell me about the women in your world, Captain."
3930,KIRK,I'd rather talk about you. You must have wanted to perform since you first saw your father act. When was that?
3931,LENORE,In the beginning.
3932,KIRK,Tell me about it.
3933,LENORE,That's not fair. You haven't answered my question about the women.
3934,KIRK,What would you like to know?
3935,LENORE,Has the machine changed them? Made them just people instead of women?
3936,KIRK,"Worlds may change, galaxies disintegrate, but a woman always remains a woman."
3937,LENORE,All this and power too. The Caesar of the stars and the Cleopatra to worship him.
3938,COMPUTER,Library computer.
3939,SPOCK,"Full personal dossiers on the following names. Doctor Thomas Leighton, Anton Karidian, Lieutenant Kevin Riley, and Captain James T. Kirk."
3940,COMPUTER,Accomplished. Standing by.
3941,SPOCK,"Correlate. Check their past histories. Report any item, any past episode or experience they all have in common."
3942,COMPUTER,Affirmative.
3943,SPOCK,"I will continue, Doctor. According to our library banks, it started on the Earth colony of Tarsus Four, when the food supply was attacked by an exotic fungus and largely destroyed. There were over eight thousand colonists and virtually no food. And that was when Governor Kodos seized full power and declared emergency martial law."
3944,MCCOY,I've heard of it.
3945,SPOCK,"You may not have heard it all. Kodos began to separate the colonists. Some would live, be rationed whatever food was left. The remainder would be immediately put to death. Apparently he had his own theories of eugenics."
3946,MCCOY,"Unfortunately, he wasn't the first."
3947,SPOCK,"Perhaps not. But he was certainly among the most ruthless, to decide arbitrarily who would survive and who would not, using his own personal standards, and then to implement his decision without mercy. Children watching their parents die. Whole families destroyed. Over four thousand people. They died quickly, without pain, but they died. Relief arrived, but too late to prevent the executions. And Kodos? There never was a positive identification of his body."
3948,MCCOY,What has Karidian to do with it?
3949,SPOCK,His history begins almost to the day where Kodos disappeared.
3950,MCCOY,You think Jim suspects he's Kodos?
3951,SPOCK,"He'd better. There were nine eye witnesses who survived the massacre, who'd actually seen Kodos with their own eyes. Jim Kirk was one of them. With the exception of Riley and Captain Kirk, every other eye witness is dead. And my library computer shows that wherever they were, on Earth, on a colony, or aboard ship, the Karidian Company of Players was somewhere near when they died."
3952,MCCOY,It's unbelievable.
3953,RILEY,Hey. Rec room. Somebody.
3954,MATSON,"Larry Matson here. Is that you, Riley?"
3955,RILEY,Not me. I am down. In the engineering room.
3956,MATSON,You've been a bad boy.
3957,RILEY,"Maybe so. Whatever I've done, they're sure keeping it a secret from me."
3958,MATSON,I think his heart is sore.
3959,UHURA,"What can I do for you, Riley?"
3960,UHURA,Then let the years go fading
3961,UHURA,Where my heart is
3962,RILEY,"Help me, please."
3963,MCCOY,I'm not sure I can.
3964,SPOCK,"If he dies, the only one who'll be able to identify Kodos is the Captain. And he'll be the next target."
3965,SPOCK,Someone tried to poison him.
3966,MCCOY,"Tetralubisol us a milky substance. Someone could have gotten careless, made a mistake."
3967,SPOCK,I don't believe that and neither do you. I want the Captain to see that report.
3968,MCCOY,When I've finished logging it.
3969,SPOCK,Now.
3970,MCCOY,My report on Lieutenant Riley.
3971,KIRK,Will he make it?
3972,MCCOY,He's got a good chance.
3973,SPOCK,"Can we predict the same for you, Captain?"
3974,KIRK,"All right, Mister Spock. Let's have it."
3975,SPOCK,Lieutenant Riley was a witness. So were you.
3976,KIRK,All right.
3977,SPOCK,Someone tried to kill him.
3978,MCCOY,Could have been an accident.
3979,SPOCK,"You should be told the difference between empiricism and stubbornness, Doctor. I checked with the library computer, just as you did. I got the same information."
3980,KIRK,"Aren't you getting a little out of line, Mister Spock? My personal business,"
3981,SPOCK,Is my personal business when it might interfere with the smooth operation of this ship.
3982,KIRK,You think that happened?
3983,SPOCK,It could happen.
3984,KIRK,I don't like anyone meddling in my private affairs. Not even my second in command.
3985,MCCOY,"Jim, Spock's simply trying,"
3986,KIRK,"I know what he's doing, and I don't like it."
3987,MCCOY,"It's his job, and you know it."
3988,KIRK,And you also know that nothing is proven.
3989,SPOCK,"Even in this corner of the galaxy, Captain, two plus two equals four. Almost certainly an attempt will be made to kill you. Why do you invite death?"
3990,KIRK,I'm not. I'm interested in justice.
3991,MCCOY,Are you? Are you sure it's not vengeance?
3992,KIRK,"No, I'm not sure. I wish I was. I've done things I've never done before. I've placed my command in jeopardy. From here on I've got to determine whether or not Karidian is Kodos."
3993,SPOCK,He is.
3994,KIRK,"You sound certain. I wish I could be. Before I accuse a man of that, I've got to be. I saw him once, twenty years ago. Men change. Memory changes. Look at him now, he's an actor. He can change his appearance. No. Logic is not enough. I've got to feel my way, make absolutely sure."
3995,MCCOY,"What if you decide he is Kodos? What then? Do you play God, carry his head through the corridors in triumph? That won't bring back the dead, Jim."
3996,KIRK,"No, but they may rest easier."
3997,SPOCK,"Logic, Captain. Doctor Leighton was murdered while the Karidian Company was on Planet Q. Now an attempt has been made against Riley while the company is on board the Enterprise."
3998,KIRK,"Doc isn't sure it was a murder attempt. Besides, I have an idea may prove"
3999,SPOCK,Shh. Listen. Do you hear it? That low hum.
4000,KIRK,A phaser.
4001,SPOCK,On overload.
4002,KIRK,"This is the Captain. There's a phaser on overload in my quarters. If it blows, it'll take out the entire deck. Evacuate all personnel in this quadrant. Double Red Alert.  You get out of here."
4003,SPOCK,You can't stay.
4004,KIRK,Go on. Block off this section. Hurry. I'll find it.
4005,KARIDIAN,"I hoped you would have respected my privacy, Captain."
4006,KIRK,"A moment ago, we narrowly averted an explosion which would have destroyed several decks of this ship. Before that, someone tried to poison one of my crewmen."
4007,KARIDIAN,I am sorry to hear that.
4008,KIRK,I'm sure you are. Are you Kodos? I asked you a question.
4009,KARIDIAN,Do you believe that I am?
4010,KIRK,I do.
4011,KARIDIAN,"Then I am Kodos, if it pleases you to believe so. I am an actor. I play many parts."
4012,KIRK,You're an actor now. What were you twenty years ago?
4013,KARIDIAN,"Younger, Captain. Much younger."
4014,KIRK,"So was I. But I remember. Let's see if you do. Read this into that communicator on the wall. It will be recorded and compared to a piece of Kodos' voice film we have in our files. The test is virtually infallible. It will tell us whether you're Karidian, or Kodos the Executioner.  Ready for voice test. Disguising your voice will make no difference."
4015,KARIDIAN,"The revolution is successful, but survival depends on drastic measures. Your continued existence represents a threat to the well-being of society.  Your lives means slow death to the more valued members of the colony. Therefore I have no alternative but to sentence you to death. Your execution is so ordered. Signed, Kodos, governor of Tarsus Four."
4016,KIRK,I remember the words. I wrote them down. You said them like you knew them. You hardly glanced at the paper.
4017,KARIDIAN,I learn my parts very quickly.
4018,KIRK,Are you sure? Are you sure you didn't act this role out in front of a captive audience whom you blasted out of existence without mercy?
4019,KARIDIAN,"I find your use of the word mercy strangely inappropriate, Captain. Here you stand, the perfect symbol of our technical society. Mechanised, electronicised, and not very human. You've done away with humanity, the striving of man to achieve greatness through his own resources."
4020,KIRK,We've armed man with tools. The striving for greatness continues. But Kodos
4021,KARIDIAN,"Kodos, whoever he was"
4022,KIRK,Or is.
4023,KARIDIAN,"Or is. Kodos made a decision of life and death. Some had to die that others might live. You're a man of decision, Captain. You ought to understand that."
4024,KIRK,All I understand is that four thousand people were needlessly butchered.
4025,KARIDIAN,"In order to save four thousand others. And if the supply ships hadn't come earlier than expected, this Kodos of yours might have gone down in history as a great hero."
4026,KIRK,But he didn't. And history has made its judgment.
4027,KARIDIAN,"If you're so sure that I'm Kodos, why not kill me now? Let bloody vengeance take its final course! And see what difference it makes to this universe of yours."
4028,KIRK,"Those beautiful words, well acted, change nothing."
4029,KARIDIAN,"I suppose not. They're merely tools, like this ship of yours."
4030,KIRK,There are no previous records to Anton Karidian prior to twenty years ago.
4031,KARIDIAN,"Blood thins. The body fails. One is finally grateful for a failing memory. I no longer treasure life, not even my own. I am tired! And the past is a blank. Did you get everything you, wanted, Captain Kirk?"
4032,KIRK,"If I had gotten everything I wanted, you might not walk out of this room alive."
4033,LENORE,Captain Kirk.
4034,LENORE,"You'd better rest now. There's a stain of cruelty on your shining armour, Captain. You could have spared him, and me. You talked of using tools. I was a tool, wasn't l? A tool to use against my father."
4035,KIRK,"In the beginning perhaps. But later, I wanted it to be more than that."
4036,LENORE,"Later. Everything's always later. Later. Latest. Too late. Too late, Captain. You are like your ship, powerful, and not human. There is no mercy in you."
4037,KIRK,"If he is Kodos, then I've shown him more mercy than he deserves. And if he isn't, then we'll let you off at Benecia, and no harm done."
4038,LENORE,Captain Kirk. Who are you to say what harm was done?
4039,KIRK,Who do I have to be?
4040,MCCOY,"Medical log. Lieutenant Riley's sufficiently recovered to be discharged, but the Captain's ordered him restricted to Sickbay to prevent contact with the passenger who calls himself Karidian and who's suspected of being Kodos the Executioner and of murdering the Lieutenant's family."
4041,SPOCK,"I believe we have a match, Captain."
4042,KIRK,"But not an exact match, Mister Spock. We're dealing with a man's life. No machine can make that decision."
4043,MCCOY,"Riley? Captain Kirk, McCoy here."
4044,KIRK,"Yes, Doctor."
4045,MCCOY,Riley's gone. I was recording my log about Karidian and Kodos. If he overheard
4046,SECURITY,"Captain? Security, H deck, The weapons locker has been broken into. One phaser is missing."
4047,KIRK,This is the Captain. Security two alert. Find and restrain Lieutenant Kevin Riley. He's armed and possibly headed towards the ship's theatre.
4048,HAMLET,"Whither wilt thou lead me? Speak, I'll go no further."
4049,HAMLET,I will.
4050,KARIDIAN,"My hour is almost come, when I to sulphurous and tormenting fires must render up myself."
4051,HAMLET,Speak. I am bound to hear.
4052,KARIDIAN,"So art thou to revenge, when thou shalt hear. I am thy father's spirit, doomed for a certain term to walk the night,"
4053,KIRK,"Riley, get back to the Sickbay."
4054,RILEY,"He murdered my father, and my mother."
4055,KIRK,You could be wrong. Don't throw away your life on a mistake.
4056,RILEY,I'm not wrong.
4057,KARIDIAN,"But that I am forbid to tell the secrets of my prison house,"
4058,RILEY,"I know that voice, that face, I know it. I saw it. He murdered them."
4059,KARIDIAN,"Thy soul, freeze thy young blood."
4060,KIRK,It's an order. Give me the weapon.
4061,KIRK,Now get back to Sickbay. Go on.
4062,LENORE,It's going beautifully. What is it? What's wrong?
4063,KARIDIAN,"There was a voice out of the past haunting me, torturing me. There was another part I once played long ago. I never told you about it. Now that same curtain rises again. The time has come."
4064,LENORE,"No, Father. The time will never come. Tonight, after my performance, the last two who can harm you will be gone."
4065,KARIDIAN,What are you saying?
4066,LENORE,"There were nine. Now there are only two, and they will be gone as soon as I. Don't look at me like that."
4067,KARIDIAN,What have you done?
4068,LENORE,What had to be done. They had to be silenced.
4069,KARIDIAN,All of them? All seven? More blood on my hands?
4070,LENORE,"No Father, not anymore. I'm strong, Father. It's nothing."
4071,STAGEHAND,"Second act, three minutes."
4072,LENORE,We'll be ready. Don't you see? All the ghosts are dead. I've buried them. There's no more blood on your hands.
4073,KARIDIAN,"Oh, my child, my child. You've left me nothing! You were the one thing in my life untouched by what I'd done."
4074,LENORE,"But you're safe now, Father. I've saved you. Now, no one can touch you. Not even Captain Kirk. See Caesar come? He's awed by your greatness, your shining brightness. Bright as a blade before it is stained with blood."
4075,KIRK,"Bright as a blade. Come with me, both of you."
4076,LENORE,Of course. After the play.
4077,KIRK,The play is over. It's been over for twenty years.
4078,KARIDIAN,"I was a soldier in a cause. There were things to be done, terrible things."
4079,LENORE,"Stop it, Father! You have nothing to justify."
4080,KARIDIAN,"Murder, flight, suicide, madness. I never wanted the blood on my hands ever to stain you."
4081,LENORE,I did it for you. I've saved you.
4082,KIRK,By killing seven innocent men.
4083,LENORE,They weren't innocent! They were dangerous! I would have killed a world to save him!
4084,STAGEHAND,"Curtain going up, one minute."
4085,LENORE,"The play, Captain. He must go on. This is the great Karidian."
4086,KIRK,Guard.
4087,LENORE,You cannot deny him his last performance!
4088,KARIDIAN,"Lenore, don't!"
4089,KIRK,You'll never get off the ship.
4090,LENORE,"It will become a floating tomb, drifting through space with the soul of the great Karidian giving performances at every star he touches.  I know how to use this, Captain."
4091,KARIDIAN,No.
4092,LENORE,"Caesar, beware the ides of March."
4093,KARIDIAN,"No, child! Don't!"
4094,LENORE,"Father. Father! O, proud, death! What feast is toward in thine eternal cell, that thou, such a prince at a shot so bloodily hast struck? The curtain, the curtain rises. It rises. There's no time to sleep. The play. The play. The play's the thing, wherein we'll catch the conscience of the king."
4095,SPOCK,"Ready to leave Benecia orbit, Captain."
4096,KIRK,"Stand by, Mister Leslie. All channels cleared, Uhura?"
4097,UHURA,"All channels clear, sir."
4098,KIRK,"Whenever you're ready, Mister Leslie."
4099,LESLIE,"Leaving orbit, sir."
4100,MCCOY,"You're not going to answer my question, are you?"
4101,KIRK,"Ahead warp factor one, Mister Leslie."
4102,MCCOY,That's an answer.
4103,SCOTT,"The ceremony will be carried on all viewing screens, sir."
4104,KIRK,Good.
4105,MCCOY,There was a call for you from the Bridge.
4106,KIRK,Kirk here.
4107,SPOCK,"Still no answer from Earth Outpost number two, Captain, and now number three's gone silent."
4108,KIRK,Maintain course to outpost four. Keep me informed. Kirk out.
4109,KIRK,"Since the days of the first wooden vessels, all shipmasters have had one happy privilege. That of uniting two people in the bonds of matrimony. We are gathered here today with you, Angela Martine, and you, Robert Tomlinson, in the sight of your fellows, in accordance with our laws and our many beliefs so that you may pledge your"
4110,SULU,Alert! Alert! All decks alert! Alert! Alert! Captain to the Bridge. All decks alert.
4111,KIRK,Kirk here.
4112,SPOCK,"Earth Outpost four reports they're under attack. A space vessel, identity unknown."
4113,KIRK,"Full ahead. All decks, condition red."
4114,SPOCK,"Verified, Captain."
4115,SULU,"Our speed is now maximum, sir."
4116,STILES,"Position, eight minutes from Outpost four at this velocity, sir."
4117,KIRK,Scotty.
4118,SCOTT,"I've talked to my engine room, sir. We'll get more speed out of her."
4119,KIRK,"Did Outpost 4 give anything at all on the attacking vessel, Lieutenant?"
4120,UHURA,"No identification, sir."
4121,STILES,"There can't be much doubt who's attacking, sir."
4122,KIRK,"Mister Spock, put this star sector on our screen. Now show our position. Signal this to all decks, Lieutenant."
4123,UHURA,"All decks standing by, sir."
4124,SPOCK,"Referring to the map on your screens, you will note beyond the moving position of our vessel, a line of Earth outpost stations. Constructed on asteroids, they monitor the Neutral Zone established by treaty after the Earth-Romulan conflict a century ago."
4125,KIRK,"What you do not know and must be told is that my command orders on this subject are precise and inviolable. No act, no provocation"
4126,STILES,"We know Outpost four has been attacked, sir, so if we intercept Romulans now"
4127,KIRK,"After a whole century, what will a Romulan ship look like, Mister Stiles? I doubt they'll radio and identify themselves."
4128,STILES,"You'll know, sir. They're painted like a giant bird-of-prey."
4129,KIRK,I had no idea that history was your specialty.
4130,STILES,"Family history. There was a Captain Stiles was in the space service then. Two Commanders and several junior officers. All lost in that war, sir."
4131,KIRK,"Their war, Mister Stiles. Not yours. Don't forget it."
4132,STILES,"Yes, sir."
4133,SPOCK,"Outpost two coming into sensor range, Captain."
4134,KIRK,"Outpost 2 was the first to go silent, Lieutenant?"
4135,UHURA,"Yes, Captain, then Outpost three an hour later."
4136,SPOCK,"Sweeping the area of Outpost two. Sensor reading indefinite. Double-checking Outpost three. I read dust and debris. Both Earth outposts gone, and the asteroids they were constructed on, pulverised."
4137,KIRK,Open a channel to our nearest command base. Quarter hour reports on our position and status.
4138,UHURA,"Yes, sir."
4139,KIRK,"Call battle stations, Mister Sulu."
4140,SULU,"Battle stations. All hands to battle stations. Battle stations. Battle stations. All decks acknowledge. All decks acknowledge, sir. All stations show green."
4141,KIRK,"Energise main phasers, Mister Styles. All weapons to full power."
4142,STILES,All weapons to full power. Phaser control room.
4143,ANGELA,Phaser control acknowledging. All weapons energising to full.
4144,ROBERT,"Happy wedding day, almost."
4145,ANGELA,"You won't get off my hook this easily. I'm going to marry you, Mister, battle or phaser weapons notwithstanding."
4146,ROBERT,"Well, meanwhile, temporarily at least, I am still your superior officer. So get with it, Mister."
4147,TEC,Port weapons show ready.
4148,TEC,Starboard and midship weapons show ready.
4149,ANGELA,Acknowledge. All weapons batteries ready.
