Speaker,Dialogue
MCCOY,"Possibly because no one has died, Jim. (Strolls in with a lovely"
TONIA, And how do you explain them?
MCCOY,"Oh. Them. Well I, er, I was thinking about a little cabaret I"
TONIA,And so am l.
MCCOY,"Oh, yes. So you are. Well, girls, I suppose you can turn"
CARETAKER,We regret that some of you've been made uncomfortable.
KIRK,You say your people built all this. Who are you? What planet are
CARETAKER,My impression is that your race is not yet ready to
SPOCK,I tend to agree.
KIRK,Kirk here.
KIRK,"No, everything is in order, Lieutenant. Stand by."
CARETAKER,However.
CARETAKER,"If you would use the proper caution, this amusement planet"
MCCOY,"It's what the doctor ordered, Jim."
KIRK,Lieutenant.
KIRK,Commence transporting shore leave parties. Tell them to prepare
SPOCK," Captain, I'll go back aboard"
KIRK,"No, Mister Spock. I'll go. You. (then he sees Ruth walking"
SPOCK,"Did you enjoy your rest, gentlemen?"
KIRK,"Yes, we did, Mister Spock. I think we did."
MCCOY,"Indeed we did, Mister Spock."
SPOCK,Most illogical.
KIRK,"Ahead warp factor one, Mister Sulu."
Original Airdate,"5 Jan, 1967"
KIRK,"Captain to shuttlecraft Galileo. Stand by,"
FERRIS,"I remind you, Captain, I'm entirely opposed to this delay. Your"
KIRK,"No problem, Commissioner. And may I remind you that I have"
FERRIS,I don't like to take chances. The plague is out of control on
KIRK,No problem. Captain to Galileo. All systems cleared for take off.
SPOCK,Power up. All instruments activated. All readings normal. All
KIRK,Launch shuttlecraft.
MEARS,Readings normal. Acceleration normal. Phase
SPOCK,Position?
LATIMER,"Three point seven. Sir, I"
SPOCK,"Make up your mind please, Mister Latimer."
LATIMER,"Sir, this indicator's gone crazy."
BOMA,"That's to be expected, Mister Spock. Quasars are extremely"
SPOCK,"Considerably, Mister Boma."
MEARS,"Mister Spock, radiation is increasing."
SPOCK,"Stop forward momentum, Mister Latimer."
LATIMER,"I can't, sir. Nothing happens."
SPOCK,"Galileo to Enterprise. Galileo to Enterprise. Come in, please."
BOMA,"Ionic interference, Mister Spock."
MCCOY,We're being drawn right into it.
SPOCK,Galileo to Enterprise. Galileo to Enterprise. We are out of
KIRK,Anything at all?
UHURA,"Nothing clear, Captain. Just a few words about being pulled off"
KIRK,Try and get me a fix on the Galileo.
SULU,"Scanners are blank, Captain. We're getting a mass of readings"
COMPUTER,Negative ionic concentration one point six four times ten to
FERRIS,"What is it, Captain?"
KIRK,That thing out there has ionized this complete sector. None of
FERRIS,I was opposed to this from the very beginning. Our flight to
KIRK,"I'm aware of that, Commissioner. At the same time I have certain"
FERRIS,"Yes, but you've lost your crew."
KIRK,We have two days to find them.
FERRIS,Two days? ln all that? Two days?
KIRK,"What would you have me do, turn around and leave them there?"
FERRIS,You shouldn't have sent them out in the first place. Do you know what you've done? You've
UHURA,"Captain, there's one planet in this solar system capable of"
KIRK,"Thank you, Lieutenant. Mister Sulu."
SULU,"Yes, sir."
KIRK,Set course for Taurus Two.
SULU,"Aye, aye, sir."
FERRIS,You said something about a needle in a haystack. It's useless.
KIRK,"If they're not there, Commissioner, then they're dead by now."
MCCOY,You all right?
GAETANO, Yes.
MCCOY,Scotty? Boma?
BOMA,Now that's what I call a ride.
MCCOY,Yeoman?
MEARS,Yes. I just got a little bump on the head.
MCCOY, Upsy-daisy.
MEARS,Thank you.
MCCOY,What happened?
BOMA,"I can't be sure, but I'd say that, the magnetic potential of the"
SPOCK,"I'd say your evaluation is reasonable, Mister Boma."
SCOTT,What a mess.
SPOCK,"Picturesque descriptions will not mend broken circuits, Mister"
SCOTT,"You don't really expect to get an answer, do you?"
SPOCK,"I expect nothing, Mister Scott. It is merely logical to try all"
MCCOY,"Partial pressure of oxygen, seventy millimetres of mercury."
SPOCK,"Just the facts, Doctor."
MCCOY,"Traces of argon, neon, krypton, all in acceptable quantities."
SPOCK,Thank you for your opinion. It will be duly noted. You're
MEARS,"Of course, Mister Spock."
SPOCK,"Mister Scott, if you'll make a survey of the damage, please."
SCOTT,Logical.
SPOCK,"Gentlemen, I think we should move outside, make room for Mister"
LATIMER,"Aye, aye, sir."
MCCOY,What do you think our chances are of contacting the Enterprise?
SPOCK,"Under present conditions, extremely poor."
MCCOY,But they'll be looking for us.
SPOCK,"If the ionisation effect is as widespread as I believe it is,"
MCCOY,Then you don't think they'll find us.
SPOCK,Not as long as we're grounded. We may be here for a very long
UHURA,"Nothing, Captain."
KIRK,Mister Sulu.
SULU,"Yes, Captain?"
KIRK,Anything on your scanners?
SULU,"Totally inoperative, sir. No readings at all."
KIRK,Have you tried tying in to the auxiliary power?
SULU,"Yes, sir. No change."
KIRK,"Transport room, this is the captain speaking. Are the"
KIRK,"Thank you. This is the captain speaking. Flight deck, prepare"
UHURA,"All wavelengths dominated by ionisation effects, sir."
FERRIS,"Well, Captain?"
KIRK,"We have until 2823.8 to continue the search, Commissioner."
FERRIS,"You don't really think you'll have any luck, do you?"
KIRK,"Look, these people are my friends and my shipmates. I intend to"
FERRIS,"Very well, Captain, but not one second beyond that moment. Is"
KIRK,"I'm familiar with the regulations, Commissioner. I know all about"
MCCOY,"Well, I can't say much for the circumstances, but at least it's"
SPOCK,"My big chance? For what, Doctor?"
MCCOY,"Command. Oh, I know you, Mister Spock. You've never voiced it,"
SPOCK,"I am a logical man, Doctor."
MCCOY,It'll take more than logic to get us out of this.
SPOCK,"Perhaps, Doctor, but I know of no better way to begin. I realise"
SCOTT,"Very bad, Mister Spock."
SPOCK,In what way?
SCOTT,We've lost a great deal of fuel. We have no chance at all to
SPOCK,The weight of three grown men.
SCOTT,"Aye, you could put it that way."
MCCOY,Or the equivalent weight in equipment.
SPOCK,"Doctor McCoy, with very few exceptions we use virtually every"
BOMA,You mean three of us must stay behind.
SPOCK,"Unless the situation changes radically, yes."
BOMA,And who's to choose?
SPOCK,"As commanding officer, the choice will be mine."
BOMA,You wouldn't be interested in drawing lots?
SPOCK,"A very quaint idea, Mister Boma, but I do believe I'm better"
BOMA,"All right, Mister Spock. Who?"
SPOCK,"My choice will be a logical one, arrived at through logical"
MCCOY,"Mister Spock, life and death are seldom logical."
SPOCK,"But attaining a desired goal always is, Doctor. Now gentlemen, I"
BOMA,"If any minor damage was overlooked, it was when they put his head"
MCCOY,"Not his head, Mister Boma, his heart. His heart."
LATIMER,What is it?
GAETANO,II don't know. It's from up there.
LATIMER,"No, it's from back there."
GAETANO,It's everywhere. It's all around us!
LATIMER,Let's get out of here.
SPOCK,"Come on, Boma."
SPOCK,What was it?
GAETANO,"It was something huge, terrible. Up there. I think I hit it."
BOMA,Did you see what it was?
GAETANO,Vaguely. It was like a giant ape.
BOMA,Poor Latimer.
GAETANO,At least it was quick for him.
BOMA,We'll get off all right.
SPOCK, Nothing there.
GAETANO,I tell you there was.
SPOCK,I don't doubt your word.
GAETANO,But there must be something. I swear I hit it.
SPOCK,
BOMA,Sir?
SPOCK,There's a remarkable resemblance to the Folsom Point discovered
BOMA,Not very efficient? Is that all you have to say?
SPOCK,"Am I in error, Mister Boma?"
BOMA,You? Error? Impossible.
SPOCK,"Then what, Mister Boma?"
BOMA,"There's a man lying there dead, and you talk about stone spears."
SPOCK,"My concern for the dead will not bring him back to life, Mister"
GAETANO,"Mister Spock. In the interest of efficiency, I don't think we"
SPOCK,Bringing him back to the ship should not interfere with our
I GAETANO,"We'll do it. Give me a hand with Latimer, will you?"
UHURA,"Captain, the Columbus has returned from"
KIRK,Have them proceed to the next quadrant. Any word from engineering
UHURA,"They're working on them, sir. Still inoperable."
KIRK,What about the transporters?
UHURA,They're still reported unsafe.
KIRK,"Thank you, Lieutenant."
FERRIS,Captain.
KIRK,"Yes, Commissioner?"
FERRIS,I don't relish the thought of abandoning your crewmen out
however I must remind you KIRK,"I haven't forgotten, Commissioner."
FERRIS,You're running out of time.
KIRK,"I haven't forgotten that, Commissioner. This is the captain. Try"
KIRK,"Uhura, order the Columbus to open its course two degrees on every"
SULU,"But Captain, two degrees means they'll be overlooking more than a"
KIRK,It also means we have a fighting chance to cover the majority of
SULU,"Yes, sir."
FERRIS," Twenty four more hours, Captain."
SPOCK,Perhaps if you were to channel the second
SCOTT,It's too delicate. It may not be able to take the pressure as it
MCCOY, This should save us at least
SPOCK,"Excellent, Doctor."
MEARS,We should be able to scrape up another hundred pounds.
SPOCK,Which would still leave us at least one hundred and fifty pounds
MCCOY,I can't believe you're serious about leaving someone behind. Now
s out there SPOCK,"It is more rational to sacrifice one life than six, Doctor."
MCCOY,I'm not talking about rationality.
SPOCK,You might be wise to start.
BOMA, Mister Spock. we're ready.
SPOCK,For what?
BOMA,The services for Latimer.
SPOCK,"Mister Boma, we're working against time."
BOMA,The man's dead. He deserves a decent burial. You're the captain.
SPOCK,"Doctor, perhaps you know the correct words for such an occasion."
MCCOY,"Mister Spock, that's your place."
SPOCK,"My place is here. If you please, Doctor."
MCCOY,"Now look. We may all die here. At least let us die like men, not"
SPOCK,"By dealing with first things first, I hope to increase our"
SCOTT,If you'll give me a hand with this conduit.
SCOTT,Pressure's dropping. We're losing everything.
SPOCK,What happened?
SCOTT,One of the lines gave. The strain of coming through the
SPOCK,That would seem to solve the problem of who to leave behind.
SCOTT,We have no fuel! What alternatives?
SPOCK,"Mister Scott, there are always alternatives."
MCCOY,Mister Spock! Something's happening outside.
MCCOY,"What do those supersensitive ears make of that, Mister Spock?"
SPOCK,Wood rubbing on some kind of leather.
GAETANO,They're getting ready. They'll attack.
BOMA,"Not necessarily. It could be a simple tribal rite, assuming a"
SPOCK,Not a tribal culture. Their artefacts are too primitive. More
MEARS,If we knew more about them
BOMA,"We know enough. If they're tribal, they'll have a sense of unity."
SPOCK,"How, Mister Boma?"
BOMA,By hitting them hard. Give them a bloody nose. Make them think
GAETANO,"Yes, I agree. If we stand by and do nothing, we're just giving"
SPOCK,I'm frequently appalled by the low regard you Earthmen have for
GAETANO,"Well, we're practical about it. I say we hit them before they"
SPOCK,Mister Boma?
BOMA,Absolutely.
SPOCK,Doctor McCoy?
MCCOY,Seems logical to me.
SPOCK,"It does, indeed. It seems logical to me, also. But to take life"
GAETANO,The majority.
SPOCK,"I am not interested in the opinion of the majority, Mister"
GAETANO,That could get us killed.
SPOCK,I think not. Doctor McCoy.
MCCOY,Yes.
SPOCK,You and Yeoman Mears return to the ship. Assist Mister Scott in
MCCOY,Right.
SPOCK,"Gentlemen, you'll follow my orders to the letter, firing only"
GAETANO,Now you're talking.
SPOCK,"We'll fire to frighten, Mister Gaetano, not to kill."
GAETANO,"Oh, for the. You saw what they did to Latimer!"
SPOCK,"I am in command, Mister Gaetano. The orders and the"
BOMA,The mists. I can't see them.
SPOCK,"I hear them. They're directly ahead of us. Several, I believe."
GAETANO,I say we hit them dead on.
SPOCK,"Yes, I know. But fortunately, I'm giving the orders. Take aim"
SPOCK,Fire.  Cease fire.
GAETANO,I still say we should have killed them.
SPOCK,It was not necessary. Fear will do for us what needs to be done.
MEARS,Did you find them?
SPOCK,"Yes, we found them. They won't bother us again."
MCCOY,I hope not. Scotty has an idea.
SCOTT,"It's dangerous, but it might work."
SPOCK,"Go, Mister Scott."
SCOTT,I can adjust the main reactor to function with a substitute fuel
SPOCK,"That's all very well, but we don't have a substitute supply."
SCOTT,"Aye, we do. Our phasers. I can adapt them and use their energy."
MCCOY,"Trouble is, they happen to be our only defence."
SPOCK,They would also seem to be our only hope.
SCOTT,Aye.
SPOCK," Yeoman, your phaser."
MEARS,But what if the creatures attack again?
SPOCK,"They won't attack for at least several hours. By then, with"
SCOTT,"If I can get a full load, we should be able to achieve orbit"
SPOCK,"We don't have to maintain it very long, Mister Scott. In less"
SCOTT,"Aye, aye, sir."
CHIEF,"They came back all right, sir. In my opinion, the transporters"
KIRK,"Good. This is the captain. Landing parties one, two, and three,"
CHIEF,"Captain, it's a big planet. It'll be sheer luck if our landing"
KIRK,"I'm depending on luck, Lieutenant. It's almost the only tool we"
SPOCK,"Take this back to Mister Scott for conversion, please Doctor."
BOMA,"Nobody knows what's happened to Gaetano, and you hand over his"
SPOCK, And give this to Mister Scott in
MCCOY,Just where are you going?
SPOCK,I have a certain scientific curiosity about what's become of
MCCOY,I don't know. He'll risk his neck locating Gaetano and if he
BOMA,Do you really think the ship will ever leave?
MCCOY,"Well, it won't unless we get these phasers back."
MCCOY,"Well, Mister Spock, they didn't stay frightened very long, did"
SPOCK,Most illogical reaction. We demonstrated our superior weapons.
MCCOY,You mean they should have respected us?
SPOCK,Of course.
MCCOY,"Mister Spock, respect is a rational process. Did it ever occur"
SPOCK,"Doctor, I am not responsible for their unpredictability."
MCCOY,They were perfectly predictable to anyone with feeling. You
MEARS,Why haven't they done anything?
SPOCK,"They're studying us, for the moment."
BOMA,"Another prediction, Mister Spock?"
SPOCK,"My opinion, Mister Boma."
SPOCK,Seal the windows!
MCCOY,"Studying us, Mister Spock? They seem to learn rather quickly."
BOMA,"All right, Spock, you have all the answers. What now?"
SPOCK,"Mister Boma, your tone is increasingly hostile."
BOMA,"My tone isn't the only thing that's hostile, Mister Spock!"
SPOCK,Curious. Most illogical.
BOMA,I'm sick and tired of your logic!
MEARS,We could use a little inspiration.
SPOCK,"Strange. Step by step, I have made the correct and logical"
MCCOY,And you've brought our furry friends down on us.
SPOCK,"I do seem to have miscalculated regarding them, and inculcated"
SPOCK,"How much longer, Mister Scott?"
SCOTT,"Another hour, maybe two."
MCCOY,That won't be long enough.
SCOTT,"Doctor, a phaser can only drain so fast."
BOMA,How long do you think those plates will hold out under this?
SCOTT,You've got your hands full.
KIRK,What word from the sensor section?
UHURA,At last report they were getting some readings
KIRK,I'm not interested in the last report. I want to know now.
UHURA,"Yes, sir."
FERRIS,"You have two hours and forty three minutes, Captain."
KIRK,I'm perfectly aware of how much time I have left.
FERRIS,I'm delighted. However I shall continue to remind you.
KIRK,You do that.
UHURA,"Sir, sensor section reporting. Static interference still"
KIRK,What about radio communication?
UHURA,Clearing slowly. Still incapable of transmission or reception.
FERRIS,What do you intend to do?
KIRK,"Do? I intend to continue the search. Foot by foot, inch by inch,"
FERRIS,"I'm sure the authorities will be pleased by your diligence,"
KIRK,"I'm in command here, Mister Ferris."
FERRIS,"You are, Captain. For another two hours and forty two minutes."
SPOCK,"Mister Scott, how much power do we have left"
SCOTT,"They're in good shape, but they won't lift us off, if that's"
SPOCK,Will they electrify the exterior of this ship?
SCOTT,"That they will, Mister Spock!"
SPOCK,Get to the centre of the ship. Don't touch the plates. Be sure
SCOTT,"Ready, Mister Spock."
SPOCK,All right. Go. (Scott uses a spanner or something to short out
SCOTT,I daren't use any more. Not and be sure of ignition.
SPOCK,I believe we've used enough. Mister Scott. I suggest you
SCOTT,Aye.
MCCOY,It must've worked.
SPOCK,For the moment.
BOMA,For the moment?
SPOCK,"The moment they discover they're not seriously hurt, they'll be"
BOMA,Mister Gaetano's body's back there.
SPOCK,It will of course have to be left behind.
BOMA,Not without a burial.
SPOCK,I wouldn't recommend it. The creatures won't be far away.
BOMA,"Not without a burial, Mister Spock."
SPOCK,It would expose members of this crew to unnecessary peril.
BOMA,"I'll take that chance. You see, Mister Spock, I would insist upon"
MCCOY,Mister Boma.
BOMA,I'm sick and tired of this machine!
SCOTT,That's enough!
SPOCK,"Gentlemen. All right, Mister Boma, you'll have your burial,"
UHURA,"Captain Kirk, landing party number two has"
KIRK, Put Lieutenant Kelowitz on visual.
KIRK,Report.
KIRK,There are casualties?
I KIRK,"Thank you, Lieutenant. You'd better report to Sickbay yourself."
FERRIS,"Captain Kirk, check your chronometer. You'll see that it is"
KIRK,But they're still out there.
FERRIS,"So are the plague victims on New Paris. I'm sorry, Captain. I"
KIRK,The Columbus hasn't returned yet. I still have two search parties
FERRIS,"You're procrastinating, Captain. You have your orders. Recall"
KIRK,Lieutenant.
UHURA,"Yes, sir."
KIRK,Order the transporter room to immediately beam up the two search
UHURA,"I'm in partial contact with them now, sir."
KIRK,"Then have them return immediately. Mister Sulu, prepare to"
UHURA,"Captain, the sensor section says the beams"
KIRK,What about the other systems?
UHURA,"No, sir. Too much interference."
SULU,"Captain, course set for Makus Three."
KIRK,"Stand ready, Mister Sulu. How long before the Columbus comes on"
UHURA,"Twenty three minutes, sir."
KIRK,Twenty three minutes.
MEARS,"Enterprise, this is Galileo. Come in,"
SCOTT,That's it.
SPOCK,How about weight?
SCOTT,"If we shed every ounce, we might be able to achieve orbit."
SPOCK,And how long can we hold it?
SCOTT,"A few hours, no longer. But if we time it right, we can cut out"
SPOCK,To land here again? Not a very attractive possibility.
SCOTT,"We have very few alternatives, Mister Spock."
SPOCK,"Doctor McCoy. Mister Boma. When can we lift off, Scott?"
SCOTT,Maybe eight minutes if the weight's right.
SPOCK,"Gentlemen, The ship will lift off in exactly ten minutes. You"
UHURA,"The Columbus is aboard, sir. The flight"
KIRK,"Mister Sulu, proceed on course for Makus Three, at space normal"
SULU,"Space normal, sir?"
KIRK,"Those are my orders. Lieutenant Uhura, order all sensor sections"
UHURA,"Yes, sir."
SPOCK,Get into the ship! Immediate lift off!
SPOCK,No! Go back! Lift off! Go back! No!
SPOCK,"All right, All right! Go! Go! Go! Go!"
SPOCK,"Go, Scott!"
SCOTT,"Aye, aye, sir."
SPOCK,I told you to lift off!
MCCOY,"Don't be a fool, Mister Spock. We couldn't leave you out there."
SPOCK,"Get us off, Scott!"
SCOTT,"We should be moving, but we're not."
SPOCK,"Quite right, Mister Scott. There's somebody holding us down. All"
SCOTT,What are you doing?
SPOCK,Our boosters.
SCOTT,We'll never be able to hold orbit.
SPOCK,Would you rather stay here?
SCOTT,"No, Mister Spock."
MEARS,We're moving!
BOMA,They let go!
MCCOY,We got off!
SPOCK,"May I remind you we have yet to achieve orbit, nor can we"
SPOCK,"Gentlemen, by coming after me, you may well have destroyed what"
MCCOY,"Mister Spock, remind me to tell you that I'm sick and tired of"
SPOCK,"That is a most illogical attitude. Orbit in one minute, Mister"
SCOTT,"Fifteen pounds psi. Approximately enough for one orbit, sir."
MCCOY,After that?
SCOTT,Tapping our boosters ended our last chance for a soft landing.
BOMA,You mean a burn-up?
SPOCK,It is the usual end of a decaying orbit.
MEARS,I don't want to die up here.
SPOCK,Infinitely preferable to the kind of death we'd be granted on
BOMA,I admire your ability to make so measured a choice.
SCOTT,"Mister Spock, you said a while ago that there were always"
SPOCK,Did l? I may have been mistaken.
MCCOY,"Well, at least I lived long enough to hear that. Is there"
SPOCK,The Enterprise is surely on course for Makus Three by now. I for
MCCOY,"Well, Mister Spock, so ends your first command."
SPOCK,Yes. My first command.
SCOTT,"Orbit attitude, Mister Spock. With our present fuel, that gives"
SPOCK,"Galileo to Enterprise. Galileo to Enterprise, come in, please."
SCOTT,Mister Spock!
MEARS,What happened?
SCOTT,He jettisoned the fuel and ignited it.
BOMA,We need that fuel to maintain orbit. Are you out of your mind?
SPOCK,"Perhaps, Mister Boma."
MCCOY,"How long have we got now, Scotty?"
SCOTT,The orbit'll start decaying as soon as the fuel's exhausted. Say
SULU,"Captain, there's something there on screen, at Taurus Two."
KIRK,"Sensors, a meteorite?"
SULU,No. It's holding a lateral line. There it is again. Holding
KIRK,"A hundred and eighty degrees about, Mister Sulu. Lieutenant"
SCOTT,A distress signal? It's like sending up a
SPOCK,No one out there to see it.
SCOTT,"Orbit decaying, Mister Spock. Ten seconds to atmosphere."
MCCOY,"It may be the last action you'll ever take, Mister Spock, but it"
SPOCK,Totally illogical. There was no chance.
MCCOY,That's exactly what I mean.
MEARS,It's getting hot.
UHURA,"Transporters locked in, sir."
KIRK,Activate beams.
SULU,"Whatever it was, Captain, it just burned up in the atmosphere."
UHURA,"Captain, transporter room just beamed up five persons. Alive and"
KIRK,"Mister Sulu, proceed on course to Makus Three. Ahead warp factor"
SULU,"Aye, aye, sir. Warp factor one."
KIRK,Mister Spock.
SPOCK,Captain.
KIRK,There's really something I don't understand about all of this.
SPOCK,"Quite correct, Captain."
KIRK,"Now we all know, and I'm sure the doctor will agree with me, that"
SPOCK,"Quite simply, Captain. I examined the problem from all angles,"
KIRK,I see. You mean you reasoned that it was time for an emotional
SPOCK,"Well, I wouldn't put it in exactly those terms, Captain, but"
KIRK,"You're not going to admit that for the first time in your life,"
SPOCK,"No, sir."
KIRK,"Mister Spock, you're a stubborn man."
SPOCK,"Yes, sir."
Original Airdate,"12 Jan, 1967"
DESALLE,"All clear ahead, Captain. The sensors indicate zero register."
KIRK,"Forward readings, Mister Spock."
SPOCK,"Gravimetric readings, no significant change, zero space density."
KIRK,"Ahead warp factor three, Mister Sulu. Colony Beta Six wants their"
MCCOY,"Void, star desert. The word conjures up pictures of dunes,"
KIRK,"Sunlight, palm trees. We're nine hundred light years from that"
SPOCK,"The precise meaning of the word desert is a waterless, barren"
MCCOY,"That doesn't surprise me, Mister Spock. I can't imagine a mirage"
SPOCK,"Thank you, Doctor McCoy. Moving on schedule into quadrant nine"
KIRK,"Something, Mister Spock?"
SPOCK,"Unusual, Captain. I'm now getting a sizable space-displacement"
KIRK,"Can you verify that, Navigator?"
DESALLE,"No, sir. Forward sweeps are negative. Wait. Verified, sir. We"
KIRK,Put it on visual.
DESALLE,"Iron-silica body, planet sized, magnitude one E. We'll be"
SPOCK,Inconceivable this body has gone unnoted on all our records.
KIRK,"And yet, here it is. No time to investigate. Science stations,"
UHURA,"Strong interference on subspace, Captain. The planet must be a"
KIRK,"Let's get out of its range. Veer forty degrees to starboard,"
SULU,Forty degrees.
KIRK,Sulu!
DESALLE,"Mister Spock, they're gone!"
SPOCK,Emergency! Full reverse power!
SCOTT,We've searched again from stem to stern. If they're not down on
DESALLE,"No sign of human life on the surface, sir. Unless the"
SPOCK,"Function is normal. Continuous sensor sweeps. Lieutenant Uhura,"
UHURA,"All of them, Mister Spock. No response."
DESALLE,"With due respect, sir. Request permission to transport to the"
MCCOY,I second DeSalle's request. What are we waiting for?
SPOCK,"The decision will be mine, Doctor. I have the responsibility for"
JAEGER,"No detectable soil or vegetation. Extremely hot, toxic"
SPOCK,Estimate survival time of two unprotected individuals down
JAEGER,Not very long.
UHURA,Mister Spock. Look.
SPOCK,"Greetings and felicitations. Hmm. Send this, Lieutenant. USS"
SPOCK,Hip hip hoorah? And I believe it's pronounced tally ho.
DESALLE,"Some kind of a joke, sir?"
SPOCK,"I'll entertain any theories, Mister DeSalle. Any at all."
MCCOY,One thing is certain. Obviously there's life on that planet.
SPOCK,"You're quite correct, Doctor. Prepare transporter room."
SCOTT,"Request assignment to the search party, sir."
SPOCK,"No, Mister Scott. Neither you nor I can be spared here. Mister"
SPOCK,Very good. Transmit coordinates to Mister Scott. Once on the
SCOTT,"Ready, Mister Spock."
SPOCK,Activate.
MCCOY,"Where are your storms, Jaeger?"
JAEGER,Atmosphere exactly the same as ours.
DESALLE,DeSalle to Enterprise. DeSalle to Enterprise. It doesn't
MCCOY, No response.
DESALLE, Keep trying with yours. Something's blocking the
DESALLE,Mister Jaeger! McCoy!
MCCOY,"In the name of heaven, where are we?"
DESALLE,Look.
MCCOY,There's no reading. They're like waxworks figures.
TRELANE,"I must say, they make a perfectly exquisite display pair, but"
SULU,Where are we?
TRELANE,Welcome to an island of peace on my stormy little planet of
KIRK,What happened? Fill me in.
MCCOY,You disappeared from the bridge after Sulu. We've been looking
TRELANE,"You must excuse my whimsical way of fetching you here, but"
KIRK,I'm Captain James Kirk of the United Starship Enterprise.
TRELANE,"Ah, so you're the Captain of these brave lads. My greetings"
KIRK,Who are you? Where do you come from?
DESALLE,"We've lost contact with the ship, Captain. We're trapped here."
TRELANE,I can't tell you how delighted I am to have visitors from the
JAEGER,"Notice the period, Captain. Nine hundred light years from"
TRELANE,"Ah, yes. I've been looking in on the doings on your lively"
KIRK,Then you've been looking in on the doings nine hundred years
TRELANE,"Oh, really? Have I made an error in time? How fallible of me."
KIRK,General Trelane.
TRELANE,"Retired, sir. Just Squire Trelane now. And you may call me"
KIRK,For what purpose have you imprisoned us here?
TRELANE,"Imprisoned? Nonsense. You're my guests. You see, I just"
KIRK,"Our missions are peaceful, not for conquest. When we do battle,"
TRELANE,"Ah, but that's the official story, eh?"
KIRK,I must ask you to let us go back to our ship.
TRELANE,I wouldn't hear of it. You shall join me in a repast. I want
KIRK,"Not yet. Put it on stun, not to kill, DeSalle."
TRELANE,"DeSalle, did you say? Un vrai Francais?"
DESALLE,"My ancestry is French, yes."
TRELANE,"Ah, monsieur. Vive la gloire. Vive Napoleon. You know, I"
KIRK,"This is Mister DeSalle, our navigator. Doctor McCoy, our medical"
TRELANE,"Welcome, good physicianer and honourable sir. "
SULU,Is he kidding?
TRELANE,"Und Offizier Jaeger, und der deutsche Soldat, nein? (gives a"
JAEGER,"I'm a scientist, not a military man."
TRELANE,Oh come now. We're all military men under the skin. And how we
TRELANE,What an interesting weapon you've got there. Do let me see it.
TRELANE,"Oh, how marvellous!  Devastating!"
KIRK,"Who will you start with, my crew? Are we your next targets?"
TRELANE,"Oh, how absolutely typical of your species. You don't"
KIRK,That's correct.
TRELANE,"We, meaning I and others, have, to state the matter briefly,"
KIRK,Like the transporter system aboard the Enterprise.
TRELANE,"Oh, a crude example of an infinitely more sophisticated"
KIRK,"This drawing room, did you create it by rearranging matter on"
TRELANE,Quite.
KIRK,I see. How did you manage
TRELANE,"Dear Captain, your inquiries are becoming tiresome. I want you"
KIRK,"Come on, let's go. We're getting out of here."
TRELANE,"Tut, tut, tut. You're being quite rude. You can't go."
SCOTT,"Aye, it's there, Mister Spock. Peaceful as"
SPOCK,"I don't, Mister Scott. It simply exists. Artificial perhaps, or"
SCOTT,"Aye, it could, but it couldn't move around much."
SPOCK,Apply a fine tuning on our sensors. Locate any life forms in
SCOTT,"If we find any, it doesn't follow that it would be our people."
SPOCK,"Affirmative. But if the Captain is down there and alive, that's"
SCOTT,"Shooting in the dark, Mister Spock?"
SPOCK,"Or stand by and do nothing, Mister Scott."
SULU,"Captain, where could he possibly come from? Who is this maniac?"
MCCOY,"Better say, what is he? I monitored him, and what I found was"
KIRK,Not alive?
MCCOY,Not in the way we define life. No trace. Zero.
SULU,"You mean, it shows he's dead?"
MCCOY,"It doesn't even show that he exists at all, alive or dead."
JAEGER,"Notice the wood fire, Captain? Burning steadily, ember bed"
KIRK,"Fire without heat, mistaking all this for present day Earth"
TRELANE,"Discussing deep laid plans, I'll wager. I cannot wait to see"
KIRK,"Trelane, we haven't planned"
TRELANE,Tut tut. Do not think that I deplore your martial virtue of
KIRK,"If your admiration is genuine, you must have respect for our"
TRELANE,"Oh, I can't let you go now. I was getting a bit bored until"
KIRK,For how long?
TRELANE,"Until this is over, of course."
KIRK,Until what is over?
TRELANE,"Dear Captain, so many questions. Make the most of an uncertain"
KIRK,"Trelane, even if we wanted to stay, our companions are missing"
TRELANE,"Yes, I must experience your sense of concern, your grief at"
KIRK,There are four hundred men and women aboard that ship.
TRELANE,Women? Do you mean that you actually have members of the
KIRK, No.
TRELANE,No?
KIRK,This game has gone on long enough. Those are crucial operating
t TRELANE,I can do anything I want. I should think you would have
MCCOY,"Captain, receiving a transporter signal."
TRELANE,Transporter signal? What does he mean? You must tell me!
KIRK,"It means, Trelane, the party's over, thanks to Mister Spock."
TRELANE, Wait! I won't have this! I
KIRK,"Everyone to stations. Report, Mister Spock."
SPOCK,"They didn't, Captain. Not clearly. We merely beamed up all life"
MCCOY,"Which means Trelane is not a life form as we know it, or he'd be"
KIRK,Prepare to warp out of here at once. Maximum speed.
ROSS," Oh, Captain, I was so"
KIRK,"Scotty, we're going to need every ounce of your engines. We're"
MCCOY,"I'm quaking, but I don't know if it's from laughter or terror."
UHURA,"Doctor, what was it? What was down there?"
MCCOY,"Well, it was a. Oh, forget it."
ROSS,Look.
TRELANE,"Where are all your weapons, Captain? Don't you display your"
KIRK,Trelane.
TRELANE,"Don't fret, Captain. I'm only a bit upset with you, but this"
SPOCK,I am Spock.
